name,bio,DOB,gender,coach_id,profile_pic,discipline,classification,club
Ralph Loughlin,"""Neque porro quisquam est qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit...""",1998-01-02,0,1,,0,0,Celadon River CC
Edgar Pimentel,,1997-02-09,0,1,,0,0,Celadon River CC
Mark Martinez,,1996-03-04,0,2,,0,0,Celadon River CC
Dominic Hooper,,1998-06-15,0,2,,1,0,Celadon River CC
Newton Demers,,1992-06-18,0,1,,1,0,Celadon River CC
Sherri Young,,1987-02-12,1,1,,0,0,Celadon River CC
Mary Johnson,,1990-03-14,1,1,,0,0,Celadon River CC
Carmen Delariva,,1990-11-04,1,2,,0,0,Celadon River CC
Betty Boisvert,,1992-11-12,1,2,,0,0,Celadon River CC
Veronica Brown,,1995-02-15,1,2,,1,1,Celadon River CC
Delia Smith,,1996-06-30,1,2,,1,1,Celadon River CC
